"typologie_mature_simplifiee";"n_plots";"hdom_mean_m";"hdom_median_m";"hdom_sd_m";"hdom_se_m"
"Chenaie";427;25,1979623910112;25,1979623910112;NA;NA
"Hetraie";181;27,7791350746615;27,7791350746615;NA;NA
"Autres peuplements feuillus";59;24,1727453551475;24,1727453551475;NA;NA
"Frenaie";26;29,4251447777706;29,4251447777706;NA;NA
"Autres feuillus nobles";16;26,9243845413823;26,9243845413823;NA;NA
"Erabliere";10;25,2664174586658;25,2664174586658;NA;NA
