"typologie";"n";"number_of_trees_mean";"number_of_trees_sd";"basal_area_alive_mean";"basal_area_alive_sd";"basal_area_dead_mean";"basal_area_dead_sd";"vol_alive_mean";"vol_alive_sd";"vol_deadw_mean";"vol_deadw_sd";"cdom_mean";"cdom_sd";"gha_relascope_mean";"gha_relascope_sd"
"Autres feuillus nobles";4;551,147673299712;119,723783162824;35,657065090103;7,09648043015855;1,46534354604069;1,21868257903189;359,834529424052;76,7187661440436;132,361428153716;93,7675347095499;271,589203116757;6,81561260818597;28,625;3,09232921921325
"Erabliere";12;491,055220506784;294,252436483957;28,9561680225365;10,1252452976527;1,19472686060041;1,3470785085607;269,607916357741;87,3094535510716;78,4557476413391;49,9450023689264;246,655367821582;56,0643189993154;24,7272727272727;5,20270908452335
"Hetraie";20;417,575413652958;272,856563013406;29,1504624416002;9,18983204223259;2,69992950357462;2,2857315403386;323,075051290194;106,004966194863;62,134634447762;53,9770471636367;276,524875868866;47,1596456770636;24,6842105263158;7,39032875211431
"Frenaie";3;848,171404543228;181,24138019929;37,3883246232544;8,20520041298182;0,524402796486644;0,662386768882407;338,03277622232;84,5494569648618;56,9029780092052;27,4144659066522;195,952821606941;19,3458424580357;23,6666666666667;6,02771377334171
"Autres peuplements feuillus";11;741,222617120235;367,862701789197;34,9981076764521;13,1516056763603;1,11212792126208;0,935780402477765;319,89205938182;127,700519992422;56,6623719966089;35,3874220440572;241,089583821332;58,754742828878;25,3636363636364;10,3997377589315
"Hetre - Chene";21;530,441624560008;311,782140148114;31,8818079303036;8,45149417690281;2,57874608438151;1,95883097661654;333,230940513825;96,5416527709311;53,7924113212839;37,4657813825999;271,168578037725;31,7572143375607;28,1666666666667;4,42248045030539
"Peuplement melange";2;757,263148982919;152,831473421731;41,2535047058217;1,45442234710742;1,01046772103306;0,223950004177978;434,231249309926;4,0501341503463;50,1202176977556;19,4668401424035;255,104069503279;11,8570410457942;30,75;3,18198051533946
"Chenaie";36;475,292549874089;238,539441258251;32,9553569237265;8,25257954623824;0,974896636661593;1,08431983567308;332,374841470805;81,5868770348164;40,4758142135855;26,0578474739416;252,077814528113;40,7189079056818;27,4714285714286;6,08027531442119
"Chene rouge";1;668,057785817832;NA;55,4197166151841;NA;0,0450316371743724;NA;535,657015096771;NA;23,3128094129677;NA;232,947313760961;NA;29,5;NA
