"typologie_mature_simplifiee";"n_avant";"q05_cdom";"q10_cdom";"q25_cdom";"q50_cdom";"q75_cdom";"n_apres_q05";"pct_gardes_q05";"n_apres_q10";"pct_gardes_q10";"n_apres_q25";"pct_gardes_q25";"n_apres_q50";"pct_gardes_q50";"n_apres_q75";"pct_gardes_q75"
"Autres feuillus nobles";16;223,952664593356;226,573556864405;240,820035953875;262,281692032865;277,812600361802;7;43,75;7;43,75;5;31,25;2;12,5;2;12,5
"Autres peuplements feuillus";59;138,575309234274;141,238428866947;168,254130884485;221,870116243317;240,107204318992;24;40,6779661016949;22;37,2881355932203;15;25,4237288135593;6;10,1694915254237;5;8,47457627118644
"Chenaie";427;183,85077424981;204,187100408367;238,172929901262;259,690142601946;278,138107850307;285;66,7447306791569;197;46,135831381733;85;19,9063231850117;44;10,3044496487119;19;4,44964871194379
"Erabliere";10;153,830961215549;157,872667387253;169,997785902367;217,812208509838;285,495307371676;5;50;4;40;4;40;1;10;0;0
"Frenaie";26;179,887394981702;185,055783238279;200,560948008009;212,578510087688;259,452270822343;17;65,3846153846154;17;65,3846153846154;14;53,8461538461538;13;50;1;3,84615384615385
"Hetraie";182;229,471441823323;234,885759617096;258,348593171027;274,026607552577;301,528562014775;66;36,2637362637363;58;31,8681318681319;31;17,032967032967;18;9,89010989010989;9;4,94505494505495
