"typologie";"n";"standing_mean";"FAS_mean";"LIS_mean";"vol_deadw_mean"
"Frenaie";5;16,1857352078396;82,4230159485422;19,2203086419753;117,829059798357
"Erabliere";4;7,12507855969163;47,1588635025046;33,8503086419753;88,1342507041715
"Autres feuillus nobles";8;13,6680053595254;33,2917875825228;22,2297453703704;69,1895383124186
"Hetraie";34;18,5865442829765;27,4272194695938;16,2990559186638;62,312819671234
"Autres peuplements feuillus";7;5,96465220743918;16,5645743447766;22,4018959435626;44,9311224957784
"Chenaie";50;12,2913528758447;14,9607235892182;17,3460308641975;44,5981073292605
