"typologie";"standing_sum";"FAS_sum";"LIS_sum";"total_sum";"pct_standing";"pct_FAS";"pct_LIS"
"Chenaie";614,567643792235;748,036179460912;867,301543209876;2229,90536646302;27,5602567281604;33,5456468561898;38,8940964156498
"Hetraie";631,942505621201;932,525461966189;554,167901234568;2118,63586882196;29,8278016964088;44,0153721405986;26,1568261629926
"Frenaie";80,9286760391982;412,115079742711;96,1015432098765;589,145298991786;13,7366242551189;69,9513482409128;16,3120275039683
"Autres feuillus nobles";109,344042876203;266,334300660182;177,837962962963;553,516306499349;19,7544393168356;48,1167939467915;32,128766736373
"Erabliere";28,5003142387665;188,635454010018;135,401234567901;352,537002816686;8,08434689438437;53,5079871057127;38,407665999903
"Autres peuplements feuillus";41,7525654520743;115,952020413436;156,813271604938;314,517857470449;13,2751017026107;36,8665936319151;49,8583046654742
