"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
4878;122;169,94907928813;"5-55%;1-33%";"Frenaie";0;30,6833332379659;30,6000003814697;36
4912;181;197;"1-100%";"Chenaie";1;24,0846155606783;23,7000007629395;39
5278;52;202;"1-100%";"Chenaie";1;27,7717949304825;28,2000007629395;39
5278;107;252,859503362563;"1-84%;7-16%";"Chenaie";1;28,5853655745343;28,7999992370605;41
5278;122;185,578510087688;"5-59%;4-41%";"Frenaie";1;29,1947363803261;29;38
5312;101;158,848369335928;"1-100%";"Chenaie";0;23,6820510962071;23,5;39
5334;37;192,935144660274;"1-100%";"Chenaie";0;21,7399998256138;21,2999992370605;35
5334;58;240,481157282192;"1-99%;4-1%";"Chenaie";1;22,947500038147;22,8500003814697;40
5334;101;260;"1-50%;3-50%";"Chenaie";1;26,2809520903088;26,2999992370605;42
5334;122;138;"1-100%";"Chenaie";1;23,1564102172852;22,5;39
5334;187;61;"11-100%";"Autres peuplements feuillus";1;22,6476191111973;23,1000003814697;42
5334;208;214;"1-88%;4-12%";"Chenaie";0;25,6499998304579;25,7999992370605;36
5334;218;161;"25-59%;4-41%";"Autres peuplements feuillus";0;25,4214289528983;21,6000003814697;42
5334;267;229;"1-72%;3-28%";"Chenaie";0;27,1315792987221;28,7000007629395;38
5356;37;206,631196326727;"1-74%;5-26%";"Chenaie";0;26,8357142947969;26,6999998092651;42
5356;117;147,877065442242;"1-49%;11-26%";"Autres peuplements feuillus";1;25,3829271270008;25,7000007629395;41
5356;218;202,983036759754;"1-100%";"Chenaie";1;23,2474994659424;23,7999992370605;40
5356;271;134,754130884485;"1-70%;17-30%";"Chenaie";0;20,7380955105736;20,2000007629395;42
5356;298;252,43859591614;"1-100%";"Chenaie";1;23,7574999809265;24,6000003814697;40
5378;37;172;"1-100%";"Chenaie";1;23,7214285532633;24,1000003814697;42
5378;58;391;"1-100%";"Chenaie";1;22,5119048527309;22,1000003814697;42
5378;271;228;"1-100%";"Chenaie";0;26,3657894134521;26,3999996185303;38
5378;288;165;"3-69%;50-31%";"Hetraie";0;32,1850001335144;32,0999984741211;40
5412;31;177,696236575982;"5-79%;26-21%";"Frenaie";0;28,0095237096151;27,4499998092651;42
5412;48;248;"1-100%";"Chenaie";0;30,5790699803552;30,6000003814697;43
5412;132;193;"1-100%";"Chenaie";1;23,1292680414712;22,8999996185303;41
5434;58;145,7877170703;"4-48%;7-31%";"Autres feuillus nobles";0;24,9093751311302;25,6000003814697;32
5434;117;184;"3-54%;1-46%";"Hetraie";0;23,6708333492279;24;24
5434;128;158;"1-100%";"Chenaie";0;31,5857148397536;34,7000007629395;42
5434;132;231;"1-74%;14-26%";"Chenaie";0;26,114999961853;24;40
5434;138;181,920929002273;"1-100%";"Chenaie";0;26,3432432638632;26,6000003814697;37
5434;202;95;"1-100%";"Chenaie";0;20,8782608198083;20,7000007629395;23
5456;21;154,938895145757;"5-100%";"Frenaie";0;27,6160000610352;27,6000003814697;25
5456;37;181,755580583026;"4-59%;5-41%";"Erabliere";0;25,7414633588093;25,2999992370605;41
5456;52;123;"17-64%;1-36%";"Erabliere";1;18,0292682880309;18,8999996185303;41
5456;117;203,813944640161;"1-100%";"Chenaie";0;21,8536583970233;22,7000007629395;41
5456;138;72;"3-100%";"Hetraie";1;20,1923077901204;19,2000007629395;39
5456;212;243,734206628802;"1-100%";"Chenaie";1;25,9651167226392;26,1000003814697;43
5456;218;277,984052397728;"1-69%;3-31%";"Chenaie";1;26,1944444974263;26,6000003814697;36
5456;282;235;"1-68%;3-32%";"Chenaie";1;28,6891887252395;27,7999992370605;37
5456;292;161;"1-100%";"Chenaie";0;24,1124997615814;24,7000007629395;40
5478;27;180;"1-100%";"Chenaie";0;24,7333330881028;24,7999992370605;42
5478;52;175,903334715007;"1-79%;5-21%";"Chenaie";0;25,1736841201782;25,2999992370605;38
5478;101;171,938895145757;"1-100%";"Chenaie";0;21,2707316701005;21,7999992370605;41
5478;122;224;"1-100%";"Chenaie";1;22,9536588715344;23;41
5734;191;151;"1-77%;3-23%";"Chenaie";1;24,8880957194737;25;42
5778;277;161;"1-100%";"Chenaie";1;24,109524227324;24,2000007629395;42
5812;31;166,636086406228;"1-100%";"Chenaie";1;22,2279070477153;21,5;43
5812;37;155;"1-100%";"Chenaie";1;19,8170730776903;19,7999992370605;41
5812;48;211;"1-93%;14-7%";"Chenaie";0;21,5882356307086;21;34
5812;58;183,833206269521;"1-100%";"Chenaie";0;24,5452379953294;24,7000007629395;42
5812;128;100;"1-100%";"Chenaie";1;17,8707317259254;16,7000007629395;41
5812;191;147,98243792032;"1-100%";"Chenaie";1;21,9897431593675;22;39
5812;208;111;"1-98%;45-2%";"Chenaie";0;24,0238097508748;23,7000007629395;42
5834;27;153;"7-100%";"Autres feuillus nobles";0;20,7424998760223;22,6000003814697;40
5834;261;128;"1-100%";"Chenaie";1;19,7558139978453;19,5;43
5834;282;263;"1-98%;4-2%";"Chenaie";0;22,3880950836908;22,7000007629395;42
5834;288;221;"1-100%";"Chenaie";0;22,9837840312236;23;37
5856;58;209,075811408904;"1-82%;11-18%";"Chenaie";1;21,3000003723871;22,2000007629395;42
5856;117;197,221735923288;"1-77%;3-23%";"Chenaie";1;23,935000038147;24,1000003814697;40
5856;187;146,992092900227;"1-100%";"Chenaie";1;22,2702702187203;21,1000003814697;37
5856;208;157;"1-100%";"Chenaie";1;24,6380950382778;25,3999996185303;42
5878;117;109;"1-100%";"Chenaie";1;22,8761904580253;23,8999996185303;42
5878;132;41;"13-100%";"Autres peuplements feuillus";1;22,9624997615814;25;40
5878;187;135,736568804805;"1-100%";"Chenaie";1;21,3055557674832;20,2000007629395;36
5878;208;143,969673867186;"1-74%;3-26%";"Chenaie";1;25,7804881770436;27,1000003814697;41
