"typologie";"n";"vol_deadw_mean";"vol_deadw_median";"vol_deadw_sd";"vol_deadw_se"
"Frenaie";5;117,829059798357;83,9788930725717;94,6837292559468;42,3438509958965
"Erabliere";4;88,1342507041715;80,8224494117231;24,6728234336336;12,3364117168168
"Autres feuillus nobles";8;69,1895383124186;54,5776249651988;54,1562654816747;19,1471312829156
"Hetraie";34;62,312819671234;51,0315664200644;49,13758581864;8,42702644521538
"Autres peuplements feuillus";7;44,9311224957784;40,7614537802824;14,8964007653799;5,63031026502105
"Chenaie";50;44,5981073292605;40,4363713628856;29,0806841698188;4,11262979560463
