"typologie";"n_UE";"vol_deadw_mean";"vol_deadw_median";"vol_deadw_sd";"vol_deadw_se";"standing_mean";"FAS_mean";"LIS_mean"
"Autres feuillus nobles";4;132,361428153716;100,619572393212;93,7675347095499;46,883767354775;7,30255603160349;101,395677677668;23,6631944444444
"Erabliere";12;78,4557476413391;71,150783784817;49,9450023689264;14,4178802811881;13,4809807110257;39,5878070537702;25,3869598765432
"Hetraie";20;62,134634447762;31,5635870108558;53,9770471636367;12,0696346682604;23,6213576054366;25,2095577065229;13,3037191358025
"Frenaie";3;56,9029780092052;57,5679799774998;27,4144659066522;15,8277492708955;5,45676454070312;35,9169953615062;15,5292181069959
"Autres peuplements feuillus";11;56,6623719966089;50,9724088973314;35,3874220440572;10,6697092016445;11,8700526980351;24,4383069528948;20,354012345679
"Hetre - Chene";21;53,7924113212839;50,9082615163837;37,4657813825999;8,17570376935387;17,8148184997276;23,0162024629437;12,9613903586126
"Peuplement melange";2;50,1202176977556;50,1202176977556;19,4668401424035;13,765134672968;7,07907733523381;12,6366650538798;30,404475308642
"Chenaie";36;40,4758142135855;38,5109509218934;26,0578474739416;4,34297457899027;8,8303645227426;11,3227473588813;20,3227023319616
"Chene rouge";1;23,3128094129677;23,3128094129677;NA;NA;0,276698301856593;0;23,0361111111111
