"typologie_mature_simplifiee";"n_plots";"hdom_mean";"hdom_median";"hdom_sd";"hdom_se";"hdom_min";"hdom_max"
"Chenaie";1302;25,0643936093264;25,1250002384186;2,95188481855808;0,0818076496280162;12,5562497377396;35,9124989509583
"Hetraie";644;27,5513838286852;27,7047623225621;3,76275649325805;0,148273377424021;12,2111112276713;44,2095237005325
"Autres peuplements feuillus";174;23,614229967396;23,3906248807907;3,96191834065335;0,300352254286868;10,9437499642372;37,7562487125397
"Frenaie";67;27,267592370654;27,9875005483627;3,96905291047776;0,484896988693845;18,722222328186;35,6374988555908
"Autres feuillus nobles";53;26,9271436942206;26,7533326466878;3,004691405047;0,412726105889034;18,5437500476837;35,7999992370605
"Erabliere";35;25,6690720817744;25,9999998807907;3,51163293815678;0,5935743037456;16,9166667196486;34,106251001358
