"typologie_mature_simplifiee";"n_avant";"q05_cdom";"q10_cdom";"q25_cdom";"q50_cdom";"q75_cdom";"geometry";"n_apres_q05";"pct_gardes_q05";"n_apres_q10";"pct_gardes_q10";"n_apres_q25";"pct_gardes_q25";"n_apres_q50";"pct_gardes_q50";"n_apres_q75";"pct_gardes_q75"
"Autres feuillus nobles";53;223,952664593356;226,573556864405;240,820035953875;262,281692032865;277,812600361802;c(103508.654832955, 113513.091558131, 116499.751583564, 120499.8821953, 139506.422705617, 142499.442151634, 144522.5613257, 145499.387685864, 145499.691788294, 151513.314912069, 153499.499400592, 155482.968116249, 156499.574345523, 157499.683908508, 168499.701985732, 176500.196367069, 178499.58236689, 179505.305087849, 183504.861416233, 184500.003585333, 189499.670413433, 190485.040971011, 190499.831443858, 196520.144380671, 198491.515412871, 198499.825978797, 199499.403282809, 202499.442020977, 
204489.306478887, 208499.173446253, 211499.294661491, 212502.327740281, 213499.339869709, 221507.839675856, 232483.796126407, 233499.067658524, 233499.144814792, 234499.102766949, 235440.122894811, 235483.320587742, 235499.946065283, 236501.510213203, 237505.900864723, 239475.270614565, 240485.837386119, 240486.073069836, 240497.070807048, 243511.446338672, 244493.598176098, 245499.077037624, 246500.002389778, 249499.075374689, 250499.123924406, 136001.219132513, 117472.211763583, 131500.371189491, 
147500.361542318, 118985.4935087, 87500.1111943033, 116991.275694962, 80000.0769188842, 119000.127998849, 95995.318136625, 93000.0327099236, 110988.215929091, 153499.502104936, 116000.031339647, 116499.945468199, 90469.6123661892, 99499.846383621, 102498.153097129, 126507.325185207, 152499.866744713, 108999.772191329, 127990.504562767, 129499.790601546, 95505.3259845143, 128017.207495755, 127499.726108056, 72999.6486172546, 77499.6316684457, 137992.057610774, 54010.5357961711, 56999.5350738587, 50461.7751480686, 
82497.1974773183, 121490.441852149, 23463.5037090126, 23999.3235697001, 33999.3361025276, 31499.3986627022, 26480.3387140669, 31506.4235033747, 136999.448717173, 139000.513091143, 107509.0436148, 57493.6979858289, 23513.4221853986, 31989.606912965, 24291.3261873825, 139978.029837537, 124473.782345871, 26999.3236149317, 142499.370586857, 26999.1884633591, 28499.1972510768);17;32,0754716981132;16;30,188679245283;12;22,6415094339623;5;9,43396226415094;4;7,54716981132075
"Autres peuplements feuillus";178;138,575309234274;141,238428866947;168,254130884485;221,870116243317;240,107204318992;c(76499.7219244273, 78499.7167184974, 85498.7629298099, 85499.8126800694, 103499.605252567, 104517.310931417, 110499.735830515, 111483.128967365, 112496.424593838, 112511.632231765, 113465.369319189, 113499.716342404, 114499.731739258, 118498.888687217, 120499.756880138, 123505.507096482, 131499.853480078, 132526.058102387, 133499.364049657, 135513.14111728, 136499.668338399, 137479.775308777, 137480.912354853, 138499.366737912, 138499.91804325, 139492.87169726, 139498.402227028, 139499.356383547, 
139499.676177808, 139499.691761987, 140499.665743805, 141483.589227063, 141499.663111518, 141499.929134075, 142499.426045387, 142499.598078017, 143499.361680644, 144492.875870574, 144499.733110647, 145499.340936595, 146465.530048379, 146499.408404868, 146499.431770589, 146499.689139865, 147499.530500676, 147499.952517013, 149499.377317198, 150499.444993644, 150500.013120454, 152499.346293324, 154499.637100033, 154499.676125878, 157499.356734273, 162487.966248076, 162499.390488515, 164499.385264155, 
164499.774925421, 164500.302475114, 167499.579884707, 167502.970748891, 168499.437172724, 169499.403768741, 172499.450103593, 172499.707142592, 176517.661498482, 179496.981065127, 180499.600466492, 182499.462993513, 182499.579703438, 183487.888754472, 184498.689592661, 185499.237947458, 185499.587427488, 186499.748374457, 187447.841428312, 187468.021109515, 187508.979963157, 188464.664155017, 188491.848846665, 188494.030138317, 189499.315078695, 190499.434455241, 190499.582307704, 190499.839258122, 
192499.771595459, 192501.505217363, 193499.294796709, 193499.83133629, 194487.4676058, 194495.650588711, 194499.007888266, 194499.447363078, 195487.850042422, 196494.811714564, 201499.429138872, 203497.695808103, 204479.462287663, 204496.550429651, 204499.769168523, 205499.465300419, 206491.920026097, 206499.253412905, 208491.524242866, 208513.488080749, 208518.900581977, 212484.714883193, 213504.065830645, 214489.591268652, 218500.292488442, 219496.38352055, 220502.599440278, 221499.736560121, 221499.959965715, 
222499.949547015, 223492.961723483, 223500.283071815, 224499.695127672, 225499.52940574, 226499.170665547, 227481.091019273, 228512.19538547, 228514.916922451, 229493.209560028, 229499.962062843, 230499.562618009, 231491.153461048, 233499.990351192, 234499.614352185, 234499.761964453, 234499.995516998, 235480.108408016, 235499.716600937, 236495.292367271, 236502.314819612, 237499.080479237, 237499.154249205, 238499.155020052, 238499.642640462, 238499.720327527, 238499.766569079, 239478.106446807, 
239499.175594473, 240486.025788684, 240491.927529111, 240493.692523002, 240506.338597219, 241499.650262636, 241499.751179495, 242499.70193694, 244490.522244874, 245499.973951798, 246499.986793546, 248472.586403148, 248516.971525743, 249500.111287989, 249528.492798894, 250477.619998231, 251512.014529481, 253484.634931239, 254499.988821487, 255499.729061546, 257499.221425429, 265500.130575063, 266500.138406053, 267488.568245694, 268501.570411136, 271527.909609942, 274500.129742972, 275491.08148211, 
275500.072483833, 275502.600933365, 277500.051546546, 278499.943446995, 278500.06441928, 284484.608623312, 284499.962805296, 287529.368376053, 288504.956141269, 134500.689259442, 133500.671651426, 147497.472810179, 147000.647497837, 115000.451643446, 135506.311633756, 130500.417732934, 131500.838631345, 132013.114983637, 120471.043887611, 116495.920629276, 132000.404069815, 131500.476729408, 131994.768811563, 131500.340103796, 130993.963570084, 142000.268252623, 113975.191172002, 79000.1692820415, 
132494.063235367, 117500.196690314, 146513.72412947, 76508.9216248076, 78500.1295892559, 146500.277799818, 113466.2928306, 103498.607468108, 77000.1204331061, 118000.174191935, 120000.176588625, 116500.164451035, 86518.0401311684, 116000.156008774, 150000.20005972, 86500.1678031618, 107500.137242736, 77000.0894321753, 77994.6697833892, 113000.0481144, 74000.0692980001, 82960.62419271, 82500.0726671973, 85500.0770982252, 118500.120260817, 98000.0855031842, 152000.155294563, 78000.0440768953, 91500.0809799153, 
156500.170988287, 73500.0143101681, 110500.046800257, 115500.053983862, 73999.9759122906, 157012.360252605, 77499.9413668774, 76499.9247663412, 126499.98972965, 80486.8925506901, 100999.933904477, 99948.041863245, 82499.9022028167, 81999.925583005, 83499.8724759398, 116499.914058899, 128493.7120702, 127993.891613273, 101499.832838005, 83499.7943285024, 98499.8139777733, 77985.0793069955, 82496.5473750466, 53999.7332930919, 98999.7907663621, 119499.809636525, 83486.781692002, 58490.7761474373, 114985.878480636, 
76988.3357776683, 62500.439733509, 133011.058880457, 61999.712000004, 78499.7252826029, 96499.7894769209, 130499.792077634, 121499.764417905, 64510.016720769, 59999.6783217164, 128999.766352037, 112988.713114361, 101970.748556335, 92993.4916316858, 79499.6953897923, 78992.4357517064, 78495.0473828912, 75999.6364919161, 78490.0495774448, 78983.4357204605, 78490.9617213449, 50480.4171859929, 79999.6110091629, 132994.979219315, 52499.5676720496, 132507.127317864, 52499.584009585, 58496.1317925248, 98485.4318595091, 
132494.248516534, 132012.101419517, 72000.1311873375, 137501.990739584, 138004.519915652, 107484.373484731, 140999.56301701, 139499.554024748, 98489.8861898631, 144989.67713705, 106499.496711517, 84999.4620491136, 38499.3954798393, 97512.5144729223, 138998.739187163, 80503.8829662446, 87507.702423851, 139999.50003984, 86499.4590926161, 127994.378852788, 142999.472592847, 94499.4044515053, 113499.428009866, 143499.464855154, 118000.688685128, 107499.412624695, 34496.2739898022, 107035.103162811, 24999.2933220994, 
36999.3956024926, 34499.2980008209, 97499.376820473, 107499.388868611, 111499.450772412, 118957.352170693, 36999.2928013504, 94503.672032577, 72506.4558654176, 113007.659231743, 142998.721650992, 97999.3539582249, 110999.370542703, 104499.354021695, 129502.848888696, 138999.373900184, 140499.368164713, 30466.2102504969, 40490.2633800181, 155999.363356484, 141537.018670564, 52009.7025110647, 75009.8453278607, 122508.540234502, 139499.30428224, 136466.19661826, 39999.1587556507, 155999.238934753, 156499.254561746, 
