key;seuil;n_pix
11;3540;17195
13;3420;22808
21;3440;87264
23;3330;79677
24;3360;10895
31;2790;14580
33;2640;23256
41;3010;23441
43;2790;24759
51;2860;98221
53;2640;83416
54;2760;5091
61;2970;80623
63;2770;47285
64;2960;5963
71;2940;17400
73;2840;27682
81;2890;113776
83;2760;88382
84;2940;6395
91;2730;82556
93;2630;95477
94;2860;6795
101;2660;82563
103;2580;86951
104;2660;20942
111;2830;235576
113;2770;257195
114;2780;13044
121;2900;104763
123;2830;75534
124;2810;5101
131;2890;12876
133;2770;17369
141;2910;334666
143;2780;309239
144;2850;16537
151;2810;78261
153;2710;57664
161;2940;130143
163;2790;117883
164;2884,00000000001;6779
171;2900;33185
173;2880;28815
181;3180;5930
183;2930;3844
191;3140;153539
193;3110;133215
194;3040;7728
201;3210;40605
203;3180;28686
211;3300;37850
213;3060;10558
221;2910;35219
223;2760;36703
224;3100;2455
231;2810;74511
233;2710;68025
234;2840;8972
241;2610;26541
243;2530;33351
244;2660;10034
251;2830;6042
253;2740;6321
261;2730;2883
263;2680;3824
264;2710;3066
271;2940;15912
273;2750;24130
281;2870;432388
283;2720;367828
284;2970;10382
