key;seuil;n_pix
101;3050;64496
103;2990;58547
106;3400;38819
108;2900;39165
201;3070;368572
202;2450;16954
203;2990;307920
206;3380;196067
208;3130;28670
301;2750;2026
303;2660;15583
306;2830;4055
401;2720;11906
403;2790;48339
406;2830;5087
501;2300;21961
503;2520;184445
506;2800;19381
601;2810;61259
602;2700;4391
603;2770;232780
606;3070;45946
701;2752,5;9988
703;2780;22799
706;2920;7985
801;2830;52277
803;2810;203714
806;2950;45896
901;2240;15783
903;2400;402400
906;3070;10626
1001;2580;13312
1003;2540;724386
1006;2490;7130
1101;2630;9335
1103;2620;119157
1106;2830;199287
1201;2630;12314
1203;2690;87862
1206;2830;772368
1301;2720;2631
1303;2690;19436
1401;2450;42283
1402;2440;12099
1403;2590;654067
1406;2950;213293
1501;2320;48880
1502;2260;6025
1503;2570;277574
1506;2950;255293
1601;2470;22888
1602;2320;9750
1603;2660;114824
1606;2880;479894
1701;2240;8648
1702;2070;7526
1703;2490;18781
1706;2770;210549
1801;2700;15307
1803;2790;42023
1806;2960;57045
1901;2700;26599
1902;2760;5275
1903;2810;148440
1906;2970;550951
2001;2900;18861
2003;2940;37427
2006;3080;83168
2101;2850;15627
2103;2910;11231
2106;3000;85801
2201;2760;28236
2203;2760;111956
2206;2750;7023
2301;2730;103814
2303;2710;572738
2306;2670;30163
2401;2480;23677
2403;2550;340652
2406;2490;19140
2501;2470;4830
2503;2570;35688
2506;2490;4736
2601;2550;37856
2603;2570;234481
2606;2520;22503
2701;2700;7537
2703;2650;23507
2801;2640;33425
2802;2530;2293
2803;2650;134191
2806;2950;23193
