key;seuil;n_pix
101;3290;64496
103;3210;58547
106;3730;38819
108;3290;39165
201;3290;368572
202;2640;16954
203;3200;307920
206;3600;196067
208;3550;28670
301;3070;2026
303;2780;15583
306;3010;4055
401;2900;11906
403;2950;48339
406;3070;5087
501;2580;21961
503;2730;184445
506;2960;19381
601;3050;61259
602;2830;4391
603;3030;232780
606;3280;45946
701;3000;9988
703;2980;22799
706;3200;7985
801;3040;52277
803;2980;203714
806;3110;45896
901;2430;15783
903;2540;402400
906;3220;10626
1001;2780;13312
1003;2670;724386
1006;2710;7130
1101;2860;9335
1103;2780;119157
1106;2960;199287
1201;2790;12314
1203;2800;87862
1206;2950;772368
1301;2900;2631
1303;2830;19436
1401;2630;42283
1402;2560;12099
1403;2760;654067
1406;3080;213293
1501;2470;48880
1502;2430;6025
1503;2720;277574
1506;3090;255293
1601;2660;22888
1602;2480;9750
1603;2800;114824
1606;3020;479894
1701;2540;8648
1702;2270;7526
1703;2630;18781
1706;2920;210549
1801;2890;15307
1803;2930;42023
1806;3160;57045
1901;2890;26599
1902;2840;5275
1903;2960;148440
1906;3120;550951
2001;3050;18861
2003;3090;37427
2006;3220;83168
2101;3010;15627
2103;3050;11231
2106;3160;85801
2201;2940;28236
2203;2910;111956
2206;2970;7023
2301;2910;103814
2303;2850;572738
2306;2870;30163
2401;2610;23677
2403;2670;340652
2406;2660;19140
2501;2590;4830
2503;2700;35688
2506;2695;4736
2601;2700;37856
2603;2700;234481
2606;2780;22503
2701;2920;7537
2703;2810;23507
2801;2880;33425
2802;2770;2293
2803;2850;134191
2806;3200;23193
