terr_id;n_in_mask;n_eligible;n_keep;n_removed;quantile;area_in_mask_ha;area_eligible_ha;area_keep_ha;area_removed_ha;prop_keep_vs_mask_pct;prop_keep_vs_eligible_pct;prop_eligible_vs_mask_pct
17';935318;935284;268911;666373;q70;9353,18;9352,84;2689,11;6663,73;28,7507564272258;28,751801591816;99,9963648726957
18;835236;833594;247858;585736;q70;8352,36;8335,94;2478,58;5857,36;29,6752055706411;29,7336593113674;99,8034088568979
19;1058536;1057942;307687;750255;q70;10585,36;10579,42;3076,87;7502,55;29,0672211431638;29,0835414417804;99,9438847615953
20;1582195;1582184;464651;1117533;q70;15821,95;15821,84;4646,51;11175,33;29,3674926289111;29,3676968039116;99,9993047633193
21;725541;723697;210933;512764;q70;7255,41;7236,97;2109,33;5127,64;29,07251278701;29,1465903548032;99,7458448247584
22;882195;882161;259387;622774;q70;8821,95;8821,61;2593,87;6227,74;29,4024563730241;29,4035895941897;99,9961459767965
23;308997;307504;90549;216955;q70;3089,97;3075,04;905,49;2169,55;29,3041680016311;29,4464462250898;99,5168237879332
24;126706;124149;36900;87249;q70;1267,06;1241,49;369;872,49;29,1225356336717;29,7223497571467;97,9819424494499
25;1025776;1025747;298492;727255;q70;10257,76;10257,47;2984,92;7272,55;29,0991405531032;29,0999632462976;99,9971728720501
26;210827;208747;60881;147866;q70;2108,27;2087,47;608,81;1478,66;28,877231094689;29,1649700354975;99,0134090984551
27;161615;161067;46883;114184;q70;1616,15;1610,67;468,83;1141,84;29,0090647526529;29,1077626081072;99,6609225628809
01;242652;241030;59322;181708;q75;2426,52;2410,3;593,22;1817,08;24,4473567083725;24,6118740405759;99,3315530059509
02;1096019;1096019;268008;828011;q75;10960,19;10960,19;2680,08;8280,11;24,4528607624503;24,4528607624503;100
03;53956;52312;12755;39557;q75;539,56;523,12;127,55;395,57;23,6396322929795;24,3825508487536;96,9530728741938
04;222970;221592;53508;168084;q75;2229,7;2215,92;535,08;1680,84;23,9978472440239;24,1470811220622;99,3819796385164
05;859348;858223;205691;652532;q75;8593,48;8582,23;2056,91;6525,32;23,9357047435963;23,9670808169905;99,8690867960361
06;453406;453395;108200;345195;q75;4534,06;4533,95;1082;3451,95;23,8638218285598;23,8644007984208;99,9975739182984
07;58148;57617;13961;43656;q75;581,48;576,17;139,61;436,56;24,0094242278324;24,2306958015863;99,086812960033
08;305872;304613;75416;229197;q75;3058,72;3046,13;754,16;2291,97;24,6560652822096;24,7579715901816;99,5883899147356
09;74629;71086;17199;53887;q75;746,29;710,86;171,99;538,87;23,0460008843747;24,1946374813606;95,2525157780487
10;1004269;1003700;247819;755881;q75;10042,69;10037;2478,19;7558,81;24,6765557833608;24,6905449835608;99,9433418735419
11;60683;59500;14551;44949;q75;606,83;595;145,51;449,49;23,9787090288878;24,455462184874;98,0505248586919
12;114767;113532;28083;85449;q75;1147,67;1135,32;280,83;854,49;24,4695774917877;24,7357573195223;98,9239066979184
13;412932;412515;101907;310608;q75;4129,32;4125,15;1019,07;3106,08;24,6788817529278;24,7038289516745;99,8990148499026
14;478882;478247;117674;360573;q75;4788,82;4782,47;1176,74;3605,73;24,5726504650415;24,6052771894021;99,867399484633
15;88865;85854;21277;64577;q75;888,65;858,54;212,77;645,77;23,9430596972937;24,7827707503436;96,6117143982445
16;511089;510440;125116;385324;q75;5110,89;5104,4;1251,16;3853,24;24,4802764293499;24,5114019277486;99,8730162457028
