key;seuil;n_pix
11;3400;17195
13;3290;22808
21;3290;87264
23;3190;79677
24;3200;10895
31;2690;14580
33;2530;23256
41;2910;23441
43;2690;24759
51;2730;98221
53;2520;83416
54;2670;5091
61;2860;80623
63;2670;47285
64;2880;5963
71;2800;17400
73;2700;27682
81;2780;113776
83;2650;88382
84;2800;6395
91;2620;82556
93;2510;95477
94;2750;6795
101;2580;82563
103;2510;86951
104;2590;20942
111;2730;235576
113;2670;257195
114;2690;13044
121;2820;104763
123;2760;75534
124;2720;5101
131;2800;12876
133;2680;17369
141;2790;334666
143;2660;309239
144;2740;16537
151;2700;78261
153;2620;57664
161;2850;130143
163;2690;117883
164;2780;6779
171;2820;33185
173;2790;28815
181;3060;5930
183;2850;3844
191;3040;153539
193;3010;133215
194;2920;7728
201;3130;40605
203;3110;28686
211;3220;37850
213;2980;10558
221;2800;35219
223;2670;36703
224;3000;2455
231;2720;74511
233;2620;68025
234;2740;8972
241;2540;26541
243;2460;33351
244;2590;10034
251;2730;6042
253;2620;6321
261;2670;2883
263;2620;3824
264;2670;3066
271;2820;15912
273;2640;24130
281;2760;432388
283;2610;367828
284;2860;10382
