key;seuil;n_pix
11;3790;17195
13;3630;22808
21;3640;87264
23;3520;79677
24;3590;10895
31;2920;14580
33;2780;23256
41;3140;23441
43;2920;24759
51;3030;98221
53;2820;83416
54;3000;5091
61;3110;80623
63;2900;47285
64;3070;5963
71;3120;17400
73;3010;27682
81;3060;113776
83;2900;88382
84;3110;6395
91;2910;82556
93;2810;95477
94;3040;6795
101;2780;82563
103;2680;86951
104;2780;20942
111;2970;235576
113;2910;257195
114;2920;13044
121;3020;104763
123;2940;75534
124;2950;5101
131;3020;12876
133;2880;17369
141;3060;334666
143;2920;309239
144;3000;16537
151;2960;78261
153;2850;57664
161;3070;130143
163;2920;117883
164;3020;6779
171;3010;33185
173;3000;28815
181;3380;5930
183;3030;3844
191;3280;153539
193;3250;133215
194;3230;7728
201;3320;40605
203;3280;28686
211;3410;37850
213;3170;10558
221;3072,00000000001;35219
223;2910;36703
224;3260;2455
231;2940;74511
233;2840;68025
234;2990;8972
241;2710;26541
243;2620;33351
244;2770;10034
251;2980;6042
253;2870;6321
261;2810;2883
263;2760;3824
264;2790;3066
271;3100;15912
273;2910;24130
281;3040;432388
283;2870;367828
284;3150;10382
