key;seuil;n_pix
11;3150;17195
13;3010;22808
21;3040;87264
23;2920;79677
24;2980;10895
31;2520;14580
33;2360;23256
41;2710;23441
43;2520;24759
51;2540;98221
53;2330;83416
54;2550;5091
61;2680;80623
63;2520;47285
64;2750;5963
71;2600;17400
73;2480;27682
81;2600;113776
83;2490;88382
84;2620;6395
91;2450;82556
93;2340;95477
94;2590;6795
101;2440;82563
103;2390;86951
104;2460;20942
111;2580;235576
113;2520;257195
114;2560;13044
121;2690;104763
123;2640;75534
124;2570;5101
131;2650;12876
133;2500;17369
141;2610;334666
143;2490;309239
144;2590;16537
151;2550;78261
153;2480;57664
161;2690;130143
163;2520;117883
164;2600;6779
171;2670;33185
173;2610;28815
181;2850;5930
183;2730;3844
191;2850;153539
193;2830;133215
194;2740;7728
201;2980;40605
203;2980;28686
211;3080;37850
213;2830;10558
221;2630;35219
223;2500;36703
224;2840;2455
231;2580;74511
233;2470;68025
234;2580;8972
241;2430;26541
243;2350;33351
244;2460;10034
251;2580;6042
253;2450;6321
261;2580;2883
263;2530;3824
264;2555;3066
271;2620;15912
273;2460;24130
281;2580;432388
283;2450;367828
284;2670;10382
