key;seuil;n_pix
101;2740;64496
103;2750;58547
106;3130;38819
108;2610;39165
201;2820;368572
202;2270;16954
203;2770;307920
206;3090;196067
208;2590;28670
301;2440;2026
303;2510;15583
306;2670;4055
401;2520;11906
403;2630;48339
406;2560;5087
501;2030;21961
503;2300;184445
506;2600;19381
601;2590;61259
602;2600;4391
603;2580;232780
606;2740;45946
701;2520;9988
703;2590;22799
706;2670;7985
801;2590;52277
803;2620;203714
806;2730;45896
901;1980;15783
903;2270;402400
906;2770;10626
1001;2370;13312
1003;2400;724386
1006;2240;7130
1101;2360;9335
1103;2450;119157
1106;2700;199287
1201;2390;12314
1203;2580;87862
1206;2700;772368
1301;2540;2631
1303;2550;19436
1401;2270;42283
1402;2290;12099
1403;2410;654067
1406;2780;213293
1501;2170;48880
1502;2020;6025
1503;2430;277574
1506;2790;255293
1601;2240;22888
1602;2130;9750
1603;2510;114824
1606;2710;479894
1701;1940;8648
1702;1830;7526
1703;2330;18781
1706;2600;210549
1801;2500;15307
1803;2630;42023
1806;2780;57045
1901;2460;26599
1902;2540;5275
1903;2660;148440
1906;2770;550951
2001;2710;18861
2003;2760;37427
2006;2900;83168
2101;2690;15627
2103;2730;11231
2106;2830;85801
2201;2570;28236
2203;2600;111956
2206;2510;7023
2301;2540;103814
2303;2560;572738
2306;2460;30163
2401;2320;23677
2403;2420;340652
2406;2280;19140
2501;2340;4830
2503;2430;35688
2506;2290;4736
2601;2420;37856
2603;2450;234481
2606;2320;22503
2701;2480;7537
2703;2470;23507
2801;2370;33425
2802;2310;2293
2803;2450;134191
2806;2660;23193
