key;seuil;n_pix
101;2980;64496
103;2930;58547
106;3350;38819
108;2830;39165
201;3020;368572
202;2410;16954
203;2940;307920
206;3320;196067
208;2980;28670
301;2690;2026
303;2630;15583
306;2800;4055
401;2670;11906
403;2760;48339
406;2770;5087
501;2240;21961
503;2470;184445
506;2760;19381
601;2760;61259
602;2680;4391
603;2720;232780
606;3010;45946
701;2700;9988
703;2740;22799
706;2870;7985
801;2780;52277
803;2770;203714
806;2910;45896
901;2190;15783
903;2370;402400
906;3030;10626
1001;2530;13312
1003;2510;724386
1006;2440;7130
1101;2570;9335
1103;2580;119157
1106;2800;199287
1201;2580;12314
1203;2670;87862
1206;2800;772368
1301;2700;2631
1303;2650;19436
1401;2410;42283
1402;2410;12099
1403;2550;654067
1406;2910;213293
1501;2290;48880
1502;2210;6025
1503;2540;277574
1506;2920;255293
1601;2420;22888
1602;2290;9750
1603;2630;114824
1606;2840;479894
1701;2180;8648
1702;2010;7526
1703;2460;18781
1706;2730;210549
1801;2650;15307
1803;2750;42023
1806;2920;57045
1901;2655,99999999999;26599
1902;2720;5275
1903;2780;148440
1906;2930;550951
2001;2870;18861
2003;2900;37427
2006;3040;83168
2101;2820;15627
2103;2870;11231
2106;2960;85801
2201;2720;28236
2203;2720;111956
2206;2700;7023
2301;2690;103814
2303;2670;572738
2306;2620;30163
2401;2440;23677
2403;2520;340652
2406;2440;19140
2501;2440;4830
2503;2540;35688
2506;2440;4736
2601;2520;37856
2603;2550;234481
2606;2480;22503
2701;2670;7537
2703;2610;23507
2801;2590;33425
2802;2470;2293
2803;2600;134191
2806;2890;23193
