key;prop_keep;prop_keep_pct;quantile;p;terr_num;topo
151;0,295638951712858;29,5638951712858;q70;0,7;15;1
153;0,289868895671476;28,9868895671476;q70;0,7;15;3
161;0,295966744273607;29,5966744273607;q70;0,7;16;1
163;0,29395247830476;29,395247830476;q70;0,7;16;3
164;0,295028765304617;29,5028765304617;q70;0,7;16;4
171;0,285309627843905;28,5309627843905;q70;0,7;17;1
173;0,291445427728614;29,1445427728614;q70;0,7;17;3
181;0,299662731871838;29,9662731871838;q70;0,7;18;1
183;0,297086368366285;29,7086368366285;q70;0,7;18;3
191;0,289496479721765;28,9496479721765;q70;0,7;19;1
193;0,291438651803476;29,1438651803476;q70;0,7;19;3
194;0,295678053830228;29,5678053830228;q70;0,7;19;4
201;0,292180765915528;29,2180765915528;q70;0,7;20;1
203;0,288433382137628;28,8433382137628;q70;0,7;20;3
211;0,290937912813738;29,0937912813738;q70;0,7;21;1
213;0,292384921386626;29,2384921386626;q70;0,7;21;3
221;0,296572872597178;29,6572872597178;q70;0,7;22;1
223;0,290657439446367;29,0657439446367;q70;0,7;22;3
224;0,29735234215886;29,735234215886;q70;0,7;22;4
231;0,29239977989827;29,239977989827;q70;0,7;23;1
233;0,292319000367512;29,2319000367512;q70;0,7;23;3
234;0,297815425769059;29,7815425769059;q70;0,7;23;4
241;0,296522361629178;29,6522361629178;q70;0,7;24;1
243;0,296093070672544;29,6093070672544;q70;0,7;24;3
244;0,294997010165438;29,4997010165438;q70;0,7;24;4
251;0,296259516716319;29,6259516716319;q70;0,7;25;1
253;0,292991615250751;29,2991615250751;q70;0,7;25;3
261;0,288588276101283;28,8588276101283;q70;0,7;26;1
263;0,28347280334728;28,347280334728;q70;0,7;26;3
264;0,274951076320939;27,4951076320939;q70;0,7;26;4
271;0,295311714429362;29,5311714429362;q70;0,7;27;1
273;0,291338582677165;29,1338582677165;q70;0,7;27;3
281;0,295644189940516;29,5644189940516;q70;0,7;28;1
283;0,298587926965865;29,8587926965865;q70;0,7;28;3
284;0,298401078790214;29,8401078790214;q70;0,7;28;4
11;0,241581855190462;24,1581855190462;q75;0,75;1;1
13;0,246536303051561;24,6536303051561;q75;0,75;1;3
21;0,243926475980931;24,3926475980931;q75;0,75;2;1
23;0,245353113194523;24,5353113194523;q75;0,75;2;3
24;0,245525470399266;24,5525470399266;q75;0,75;2;4
31;0,245816186556927;24,5816186556927;q75;0,75;3;1
33;0,244926040591675;24,4926040591675;q75;0,75;3;3
